learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
580000.0,7.260244,1.8818127882128792E-6,580000.0,93.25293103448276,86.14963567713693,580000.0,1675624.0,673.0,418.0,418.0,7.0,0.0,0.0,1.0
590000.0,7.42424,1.9540033122214182E-6,590000.0,93.2964406779661,86.23884272865406,590000.0,1701568.0,680.0,423.0,423.0,7.0,0.0,0.0,1.0
600000.0,7.585384,2.0263084314577287E-6,600000.0,93.33283333333333,86.31532998477745,600000.0,1734432.0,687.0,428.0,428.0,7.0,0.0,0.0,1.0
610000.0,7.754238,2.102931644612303E-6,610000.0,93.3683606557377,86.38876180688905,610000.0,1754088.0,689.0,429.0,429.0,7.0,0.0,0.0,1.0
620000.0,7.913688,2.175646843233457E-6,620000.0,93.4058064516129,86.4650879995193,620000.0,1762800.0,698.0,435.0,435.0,7.0,0.0,0.0,1.0
630000.0,8.069167,2.24706467770661E-6,630000.0,93.44285714285714,86.54172606671044,630000.0,1775568.0,702.0,437.0,437.0,7.0,0.0,0.0,1.0
640000.0,8.271476,2.341338720358909E-6,640000.0,93.4771875,86.6121376546863,640000.0,1801272.0,717.0,446.0,446.0,7.0,0.0,0.0,1.0
650000.0,8.442507,2.4220810106375986E-6,650000.0,93.50923076923077,86.67910716804914,650000.0,1824856.0,721.0,448.0,448.0,7.0,0.0,0.0,1.0
660000.0,8.611553,2.502719212437256E-6,660000.0,93.54242424242423,86.74799107935034,660000.0,1843904.0,734.0,456.0,456.0,7.0,0.0,0.0,1.0
670000.0,8.797872,2.5932562346756465E-6,670000.0,93.57388059701492,86.81211322835603,670000.0,1878328.0,748.0,466.0,466.0,8.0,0.0,0.0,1.0
680000.0,8.97159,2.6796223543211823E-6,680000.0,93.60838235294118,86.88317708337948,680000.0,1921768.0,758.0,474.0,474.0,8.0,0.0,0.0,1.0
690000.0,9.146401,2.767070577939352E-6,690000.0,93.64347826086956,86.95532316501374,690000.0,1933680.0,776.0,486.0,486.0,8.0,0.0,0.0,1.0
700000.0,9.340009,2.8660912432273234E-6,700000.0,93.67414285714287,87.01865030813023,700000.0,1976992.0,792.0,497.0,497.0,8.0,0.0,0.0,1.0
710000.0,9.532283,2.9662199284591613E-6,710000.0,93.70943661971832,87.09008785870158,710000.0,2012984.0,801.0,503.0,503.0,8.0,0.0,0.0,1.0
720000.0,9.72819,3.070997597912534E-6,720000.0,93.73694444444445,87.1465119468855,720000.0,2067384.0,818.0,516.0,516.0,8.0,0.0,0.0,1.0
730000.0,9.907047,3.167295254601373E-6,730000.0,93.76547945205479,87.2050721058191,730000.0,2081192.0,824.0,519.0,519.0,8.0,0.0,0.0,1.0
740000.0,10.091522,3.26797646784948E-6,740000.0,93.79364864864866,87.26251706535882,740000.0,2109664.0,835.0,526.0,526.0,8.0,0.0,0.0,1.0
750000.0,10.304813,3.386673882135915E-6,750000.0,93.81493333333333,87.30616665481476,750000.0,2151152.0,864.0,545.0,545.0,8.0,0.0,0.0,1.0
760000.0,10.511277,3.5051626339182263E-6,760000.0,93.83907894736842,87.35566749197885,760000.0,2218376.0,873.0,551.0,551.0,8.0,0.0,0.0,1.0
770000.0,10.703965,3.6167244268746842E-6,770000.0,93.862987012987,87.40510516626271,770000.0,2238016.0,884.0,558.0,558.0,8.0,0.0,0.0,1.0
780000.0,10.91077,3.738077915010767E-6,780000.0,93.89205128205128,87.46527383291283,780000.0,2268264.0,897.0,566.0,566.0,8.0,0.0,0.0,1.0
790000.0,11.113358,3.8581765387600494E-6,790000.0,93.9218987341772,87.52615219698528,790000.0,2291536.0,911.0,576.0,576.0,8.0,0.0,0.0,1.0
800000.0,11.34301,3.997119700509227E-6,800000.0,93.9505,87.58491364773072,800000.0,2338672.0,924.0,584.0,584.0,8.0,0.0,0.0,1.0
810000.0,11.552363,4.12625002577487E-6,810000.0,93.97456790123456,87.63466178198071,810000.0,2384248.0,940.0,595.0,595.0,8.0,0.0,0.0,1.0
820000.0,11.762662,4.257499362799443E-6,820000.0,94.0,87.68717228729636,820000.0,2412472.0,954.0,605.0,605.0,8.0,0.0,0.0,1.0
830000.0,11.978291,4.393800018700875E-6,830000.0,94.03072289156627,87.7503479492123,830000.0,2443392.0,970.0,616.0,616.0,8.0,0.0,0.0,1.0
840000.0,12.202881,4.539287803564221E-6,840000.0,94.05142857142857,87.79254577554437,840000.0,2504024.0,985.0,625.0,625.0,8.0,0.0,0.0,1.0
850000.0,12.431423,4.688637339089894E-6,850000.0,94.07964705882354,87.85023432532562,850000.0,2526040.0,987.0,626.0,626.0,8.0,0.0,0.0,1.0
860000.0,12.652174,4.833985632778042E-6,860000.0,94.10569767441861,87.90386418897673,860000.0,2545128.0,991.0,628.0,628.0,8.0,0.0,0.0,1.0
870000.0,12.872533,4.979585238132212E-6,870000.0,94.13344827586207,87.96132872435703,870000.0,2554064.0,998.0,633.0,633.0,8.0,0.0,0.0,1.0
880000.0,13.1197,5.144527161992673E-6,880000.0,94.1575,88.0107655812968,880000.0,2579544.0,1010.0,642.0,642.0,8.0,0.0,0.0,1.0
